warehouse,shipments,breach_pct
Southern Europe,863,87.49
Africa,1049,86.75
East & Southeast Asia,1549,85.6
Eastern Europe,399,85.21
South & Central Asia,1427,85.0
Northern Europe,935,84.81
Western Europe,2709,84.75
Caribbean,778,84.7
South America,1404,84.19
Central America,2730,84.18
North America,2552,83.86
Oceania,969,82.87
